0,,,,,,,,,
350,4.51,20.4,130.1,2.23,330.1,200.0,1.65,65.0,265.0
400,5.15,21.2,134.4,2.28,334.4,200.0,1.67,67.2,267.2
450,5.80,21.7,138.3,3.33,338.3,200.0,1.69,69.1,269.1
500,6.44,22.4,141.9,3.39,341.9,200.0,1.71,70.9,270.9
550,7.09,22.7,144.6,4.43,344.6,200.0,1.72,72.3,272.3
600,7.73,23.0,147.4,5.50,347.4,200.0,1.74,73.7,273.7
650,8.38,23.5,149.6,5.55,349.6,200.0,1.75,74.8,274.8
700,9.02,23.6,151.2,6.63,351.2,200.0,1.76,75.6,275.6
750,9.66,23.6,150.2,6.67,350.2,200.0,1.75,75.1,275.1
800,10.31,23.7,151.7,7.71,351.7,200.0,1.76,75.8,275.8
850,10.95,23.8,151.3,7.77,351.3,200.0,1.76,75.7,275.7
900,11.60,24.0,153.5,8.81,353.5,200.0,1.77,76.8,276.8
950,12.24,24.0,152.5,8.86,352.5,200.0,1.76,76.2,276.2
1000,12.88,24.5,156.6,9.90,356.6,200.0,1.78,78.3,278.3
1050,13.53,24.5,155.5,9.96,355.5,200.0,1.78,77.8,277.8
1100,14.17,24.7,156.5,10.4,356.5,200.0,1.78,78.3,278.3
1150,14.82,24.2,152.6,10.6,352.6,200.0,1.76,76.3,276.3
1200,15.46,24.1,151.2,10.8,351.2,200.0,1.76,75.6,275.6
0,,,,,,,,,
50,0.65,0.1,0.7,1.2,300.7,300.0,1.00,0.3,300.3
100,1.30,1.8,11.7,1.2,311.7,300.0,1.04,5.9,305.9
150,1.94,3.2,20.7,1.3,320.7,300.0,1.07,10.4,310.4
200,2.59,14.7,95.0,1.7,395.0,300.0,1.32,47.5,347.5
250,3.24,17.2,111.0,2.13,411.0,300.0,1.37,55.5,355.5
300,3.89,19.0,121.9,2.18,421.9,300.0,1.41,60.9,360.9
350,4.53,20.4,130.1,2.23,430.1,300.0,1.43,65.0,365.0
400,5.18,21.2,134.3,2.28,434.3,300.0,1.45,67.2,367.2
450,5.83,21.7,138.3,3.33,438.3,300.0,1.46,69.1,369.1
500,6.48,22.4,141.9,3.39,441.9,300.0,1.47,70.9,370.9
550,7.12,22.7,144.6,4.43,444.6,300.0,1.48,72.3,372.3
600,7.77,23.0,147.4,5.50,447.4,300.0,1.49,73.7,373.7
650,8.42,23.5,149.7,5.55,449.7,300.0,1.50,74.8,374.8
700,9.07,23.6,151.3,6.63,451.3,300.0,1.50,75.6,375.6
750,9.72,23.6,150.2,6.67,450.2,300.0,1.50,75.1,375.1
800,10.36,23.7,151.8,7.71,451.8,300.0,1.51,75.9,375.9
850,11.01,23.8,151.4,7.77,451.4,300.0,1.50,75.7,375.7
900,11.66,24.0,153.6,8.81,453.6,300.0,1.51,76.8,376.8
950,12.31,24.0,152.6,8.86,452.6,300.0,1.51,76.3,376.3
